airbnb_listing_id,ad_name,listing_type,number_of_bedrooms,number_of_bathrooms,number_of_guests,suburb,suburb_key,latitude_analitica,longitude_analitica,star_rating,number_of_reviews,cleaning_fee,is_superhost,is_professional,observacoes_preco,datas_validas,primeira_data_estadia,ultima_data_estadia,diaria_mediana_anunciada,diaria_media_anunciada,diaria_minima_anunciada,diaria_maxima_anunciada,diaria_desvio_padrao,capturas_medias_por_data,capturas_maximas_por_data,antecedencia_mediana_dias,diaria_p25_anunciada,diaria_p75_anunciada,diaria_mediana_dia_util,diaria_mediana_fim_semana,observacoes_fim_semana_percentual,diaria_iqr,dias_intervalo_observado,cobertura_intervalo_percentual,tem_preco_valido,amostra_elegivel_7_datas,amostra_elegivel_14_datas,amostra_elegivel_30_datas,amostra_preco_elegivel
40971559,Lindo Apto no coração de Meia Praia,apartamento,3,2.0,8,Meia Praia,meiapraia,-27.1299991607666,-48.60100173950195,4.900000095367432,10,300.0,True,False,34,34,2025-01-29,2025-03-12,800.0,724.3529411764706,400.0,838.0,122.22430506516739,2.5294117647058822,3.0,24.929131944444446,700.0,800.0,800.0,800.0,26.47058823529412,100.0,43.0,79.06976744186046,True,True,True,True,True
40989500,"Ap. 1 quadra do mar, no coração de meia praia",apartamento,2,2.0,6,Meia Praia,meiapraia,-27.13499,-48.59914,4.570000171661377,7,250.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
40999104,Apartamento 3 suítes Meia Praia- Muito confortável,apartamento,3,4.0,9,Meia Praia,meiapraia,-27.13106,-48.60286,5.0,1,400.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41003097,Apartamento completo com amplo terraço,apartamento,3,2.0,6,Centro,centro,-27.09909,-48.61519,4.800000190734863,10,350.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41008210,Excelente apartamento próximo da praia,apartamento,3,2.0,6,Varzea,varzea,-27.09534,-48.61836,0.0,0,0.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41011569,Conforto na Praia!,apartamento,3,3.0,7,Meia Praia,meiapraia,-27.1393203735,-48.5968093872,5.0,6,0.0,False,,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41026763,Apartamento 500m da praia.,apartamento,2,1.0,5,Centro,centro,-27.09367,-48.61484,4.78000020980835,18,150.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41051267,Aptos Beira-Mar em Meia Praia/Itapema,apartamento,2,2.0,6,Meia Praia,meiapraia,-27.13813,-48.59162,0.0,0,300.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41057391,Apartamento Maravilhoso. Vista Mar e Montanhas,apartamento,2,2.0,4,Meia Praia,meiapraia,-27.1279392242,-48.6073303223,0.0,0,250.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41060336,Aconchegante! Itapema,casa,2,2.0,5,Centro,centro,-27.0883102417,-48.6103096008,5.0,17,260.0,True,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41074064,"Paraíso do lazer, descanso e segurança",casa,3,2.0,7,Varzea,varzea,-27.09503,-48.62802,5.0,6,180.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41082289,Aconchego e tranquilidade para seu laser.,casa,3,3.0,12,Meia Praia,meiapraia,-27.13137,-48.59889,4.960000038146973,28,300.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41110950,Lindo apto para locação em Itapema,apartamento,3,2.0,5,Meia Praia,meiapraia,-27.13833,-48.59582,0.0,0,300.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41126139,Aconchegante apartamento em Itapema (SC).,apartamento,0,0.0,5,Centro,centro,-27.09876,-48.61583,0.0,0,200.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41132407,Apartamento andar alto para temporada,apartamento,3,4.0,8,Meia Praia,meiapraia,-27.12793,-48.60719,4.0,5,300.0,False,False,0,0,,,,,,,,,,,,,,,,,,,False,False,False,False,False
41141790,Lindo apto a 40m da praia.,apartamento,3,2.0,8,Meia Praia,meiapraia,-27.13362,-48.59582,4.900000095367432,10,330.0,False,False,39,39,2025-01-31,2025-03-10,656.0,697.248717948718,650.0,800.0,60.411208753425406,1.7692307692307692,3.0,29.403125,650.0,745.0,656.0,664.25,30.76923076923077,95.0,39.0,100.0,True,True,True,True,True
