airbnb_listing_id,diaria_mediana_anunciada,datas_validas,cenario,ocupacao_assumida,dias_ano,natureza,noites_ocupadas_assumidas,potencial_bruto_anualizado
1024067179174522246,200.0,70,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,40150.0
1024067179174522246,200.0,70,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,51100.0
1025356251415331533,350.0,36,conservador,0.4,365,hipotese_de_sensibilidade,146.0,51100.0
1025356251415331533,350.0,36,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,70262.5
1025356251415331533,350.0,36,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,89425.0
10266012,125.0,58,conservador,0.4,365,hipotese_de_sensibilidade,146.0,18250.0
10266012,125.0,58,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,25093.75
10266012,125.0,58,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,31937.5
1028988415727336651,570.0,70,conservador,0.4,365,hipotese_de_sensibilidade,146.0,83220.0
1028988415727336651,570.0,70,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,114427.5
1028988415727336651,570.0,70,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,145635.0
1030981527494824971,250.0,27,conservador,0.4,365,hipotese_de_sensibilidade,146.0,36500.0
1030981527494824971,250.0,27,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,50187.5
1030981527494824971,250.0,27,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,63875.0
1031938290013047428,590.0,82,conservador,0.4,365,hipotese_de_sensibilidade,146.0,86140.0
1031938290013047428,590.0,82,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,118442.5
1031938290013047428,590.0,82,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,150745.0
1032037416009523135,556.0,37,conservador,0.4,365,hipotese_de_sensibilidade,146.0,81176.0
1032037416009523135,556.0,37,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,111617.0
1032037416009523135,556.0,37,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,142058.0
1033202997223117530,1800.0,29,conservador,0.4,365,hipotese_de_sensibilidade,146.0,262800.0
1033202997223117530,1800.0,29,base,0.55,365,hipotese_de_sensibilidade,200.75000000000003,361350.0
1033202997223117530,1800.0,29,otimista,0.7,365,hipotese_de_sensibilidade,255.49999999999997,459900.0
1034873975277447845,655.25,62,conservador,0.4,365,hipotese_de_sensibilidade,146.0,95666.5
