variavel,coeficiente_log,erro_padrao_hc3,limite_inferior_log_95,limite_superior_log_95,associacao_percentual_aproximada,limite_inferior_percentual_95,limite_superior_percentual_95,rotulo,cenario_modelo,anuncios_modelo,r_quadrado,referencias_categoricas,interpretacao
quartos_faixa_1,-0.054911111938037986,0.07796584204608507,-0.20772416234836474,0.09790193847228876,-5.343071707679691,-18.75688951046127,10.285463219569795,quartos faixa 1,corte_7_datas,991,0.5253643402439008,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
quartos_faixa_3,0.22922833215082636,0.03773192431980236,0.15527376048401376,0.30318290381763896,25.762916340054804,16.797766347266048,35.416212321476856,quartos faixa 3,corte_7_datas,991,0.5253643402439008,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
quartos_faixa_4+,0.5719229958161298,0.06626446705922102,0.44204464038005664,0.701801351252203,77.16706931209403,55.588519419026824,101.73834525735512,quartos faixa 4+,corte_7_datas,991,0.5253643402439008,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
capacidade_faixa_1–2,-0.27772674886691046,0.09678003516704324,-0.4674156177943152,-0.08803787993950571,-24.249621799629413,-37.33803979725466,-8.427381158628664,capacidade faixa 1–2,corte_7_datas,991,0.5253643402439008,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
capacidade_faixa_3–4,-0.028659219522975107,0.06897155469068277,-0.16384346671671335,0.10652502767076312,-2.8252439354891807,-15.11251113456801,11.24057670225827,capacidade faixa 3–4,corte_7_datas,991,0.5253643402439008,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
capacidade_faixa_7+,0.005321418058219373,0.034511279443754136,-0.06232068965153873,0.07296352576797747,0.5335601951609055,-6.041847559988052,7.569130118505725,capacidade faixa 7+,corte_7_datas,991,0.5253643402439008,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
banheiros_faixa_3,0.1758341894681767,0.03551899716712387,0.10621695502061392,0.2454514239157395,19.224035625302104,11.206311801299906,27.819819221962117,banheiros faixa 3,corte_7_datas,991,0.5253643402439008,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
banheiros_faixa_4+,0.35162213987610985,0.06042774422470436,0.23318376119568932,0.4700605185565304,42.137134268368236,26.261347737278484,60.009102548643575,banheiros faixa 4+,corte_7_datas,991,0.5253643402439008,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
banheiros_faixa_até 1,-0.1559195526873371,0.042827086118396564,-0.23986064147939434,-0.07197846389527983,-14.437197942272666,-21.32625079996362,-6.944906396218328,banheiros faixa até 1,corte_7_datas,991,0.5253643402439008,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
tipo_agrupado_casa,0.0291119780843752,0.06106237849513913,-0.09057028376609749,0.1487942399348479,2.95398739234943,-8.658986625932611,16.043419362734536,tipo agrupado casa,corte_7_datas,991,0.5253643402439008,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
tipo_agrupado_outros,-0.47821115868922837,0.11507707901800591,-0.70376223356452,-0.2526600838139368,-38.01087122706138,-50.52794560755351,-22.326813931246956,tipo agrupado outros,corte_7_datas,991,0.5253643402439008,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
bairro_modelo_centro,-0.038274007704770546,0.03767430907386382,-0.11211565348954364,0.035567638080002545,-3.7550813735036868,-10.605913585881249,3.6207732859374135,bairro modelo centro,corte_7_datas,991,0.5253643402439008,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
bairro_modelo_morretes,-0.07318032410098169,0.05814696124246076,-0.18714836813620478,0.04078771993424139,-7.056678429524845,-17.067931750698623,4.163096458474288,bairro modelo morretes,corte_7_datas,991,0.5253643402439008,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
bairro_modelo_outros_bairros,-0.040562933814391106,0.05392785001796112,-0.1462615198495949,0.06513565222081269,-3.975126950561289,-13.606826165948648,6.7303796694931375,bairro modelo outros bairros,corte_7_datas,991,0.5253643402439008,quartos_faixa=2; capacidade_faixa=5–6; banheiros_faixa=2; tipo_agrupado=apartamento; bairro_modelo=meiapraia,associacao_condicional_nao_causal
