dimensao,categoria,anuncios_totais,anuncios_elegiveis,diaria_mediana_anunciada,diaria_p25_anunciada,diaria_p75_anunciada,premio_fim_semana_mediano_percentual,cobertura_elegivel_percentual,potencial_bruto_anualizado_base,status_amostra,ranking,periodo_estadias,unidade_diaria,fonte,corte_datas,tratamento_extremos
perfil_combinado,apartamento | 2 quarto(s) | 1–2 hóspede(s),1,1,150.0,150.0,150.0,0.0,100.0,30112.500000000004,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,outros | 2 quarto(s) | 1–2 hóspede(s),6,1,100.0,100.0,100.0,0.0,16.666666666666664,20075.0,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,apartamento | 0 (studio) quarto(s) | 1–2 hóspede(s),3,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,apartamento | 1 quarto(s) | 7+ hóspede(s),7,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,apartamento | 3 quarto(s) | 1–2 hóspede(s),2,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,apartamento | 3 quarto(s) | 3–4 hóspede(s),11,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,apartamento | 4+ quarto(s) | 1–2 hóspede(s),1,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,casa | 0 (studio) quarto(s) | 1–2 hóspede(s),3,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,casa | 0 (studio) quarto(s) | 3–4 hóspede(s),1,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
perfil_combinado,casa | 0 (studio) quarto(s) | 5–6 hóspede(s),2,0,,,,,0.0,,nao_ranqueavel,,2025-01-07 a 2025-04-20,R$ por noite anunciada,"Airbnb, preços anunciados; capturas de 2025-01-06 a 2025-01-20",7,amostra_completa
