segmento,rotulo,corte_datas,tratamento_extremos,metrica_diaria,metrica_compra,cenario_ocupacao,ocupacao_assumida,anuncios_airbnb,anuncios_vivareal,diaria_usada,preco_compra_usado,retorno_bruto_indicativo_percentual,comparavel_ranqueavel,ranking_no_cenario
centro_studio,Centro | studio,7,completa,p25,p25,conservador,0.4,0,0,,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,p25,mediana,otimista,0.7,8,0,325.6,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,p25,p75,conservador,0.4,8,0,325.6,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,p25,p75,base,0.55,8,0,325.6,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,p25,p75,otimista,0.7,8,0,325.6,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,mediana,p25,conservador,0.4,8,0,435.0,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,mediana,p25,base,0.55,8,0,435.0,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,mediana,p25,otimista,0.7,8,0,435.0,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,mediana,mediana,conservador,0.4,8,0,435.0,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,mediana,mediana,base,0.55,8,0,435.0,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,mediana,mediana,otimista,0.7,8,0,435.0,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,mediana,p75,conservador,0.4,8,0,435.0,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,mediana,p75,base,0.55,8,0,435.0,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,mediana,p75,otimista,0.7,8,0,435.0,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,p75,p25,conservador,0.4,8,0,542.5,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,p75,p25,base,0.55,8,0,542.5,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,p75,p25,otimista,0.7,8,0,542.5,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,p75,mediana,conservador,0.4,8,0,542.5,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,p75,mediana,base,0.55,8,0,542.5,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,p75,mediana,otimista,0.7,8,0,542.5,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,p75,p75,conservador,0.4,8,0,542.5,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,p75,p75,base,0.55,8,0,542.5,,,False,
meiapraia_studio,Meia Praia | studio,7,completa,p75,p75,otimista,0.7,8,0,542.5,,,False,
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p25,p25,conservador,0.4,20,58,373.5,757000.0,7.203566710700132,True,3
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p25,p25,base,0.55,20,58,373.5,757000.0,9.90490422721268,True,3
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p25,p25,otimista,0.7,20,58,373.5,757000.0,12.60624174372523,True,3
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p25,mediana,conservador,0.4,20,58,373.5,877500.0,6.214358974358975,True,2
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p25,mediana,base,0.55,20,58,373.5,877500.0,8.54474358974359,True,2
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p25,mediana,otimista,0.7,20,58,373.5,877500.0,10.875128205128206,True,2
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p25,p75,conservador,0.4,20,58,373.5,1003755.25,5.432698857614941,True,2
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p25,p75,base,0.55,20,58,373.5,1003755.25,7.469960929220544,True,2
meiapraia_1q,Meia Praia | 1 quarto,7,completa,p25,p75,otimista,0.7,20,58,373.5,1003755.25,9.507223000826148,True,2
meiapraia_1q,Meia Praia | 1 quarto,7,completa,mediana,p25,conservador,0.4,20,58,441.0,757000.0,8.505416116248348,True,4
meiapraia_1q,Meia Praia | 1 quarto,7,completa,mediana,p25,base,0.55,20,58,441.0,757000.0,11.69494715984148,True,4
meiapraia_1q,Meia Praia | 1 quarto,7,completa,mediana,p25,otimista,0.7,20,58,441.0,757000.0,14.88447820343461,True,4
meiapraia_1q,Meia Praia | 1 quarto,7,completa,mediana,mediana,conservador,0.4,20,58,441.0,877500.0,7.337435897435897,True,3
