segmento,rotulo,metrica_diaria,metrica_preco,ocupacao_assumida,custo_variavel_assumido,preparacao_assumida,diaria_usada,preco_compra_usado,receita_bruta_anual,custos_variaveis_anuais,custos_fixos_anuais,potencial_liquido_anual,itbi_estimado,cartorio_estimado,preparacao_estimada,investimento_total_estimado,retorno_liquido_estimado_percentual,payback_estimado_anos,ocupacao_equilibrio_percentual
centro_1q,Centro | 1 quarto,p25,p25,0.7,0.3,0.08,376.25,652500.0,96131.875,28839.5625,7000.0,60292.3125,9787.5,6300.74,52200.0,720788.24,8.364774722184702,11.954894581295086,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,p25,0.7,0.4,0.03,376.25,652500.0,96131.875,38452.75,7000.0,50679.125,9787.5,6300.74,19575.0,688163.24,7.364404556105031,13.578830336948398,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p25,0.7,0.4,0.05,376.25,652500.0,96131.875,38452.75,7000.0,50679.125,9787.5,6300.74,32625.0,701213.24,7.227348559476715,13.836332809613426,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p25,0.7,0.4,0.08,376.25,652500.0,96131.875,38452.75,7000.0,50679.125,9787.5,6300.74,52200.0,720788.24,7.031069902028368,14.222586518610967,8.495274503557395
centro_1q,Centro | 1 quarto,p25,mediana,0.4,0.2,0.03,376.25,890000.0,54932.5,10986.5,7000.0,36946.0,13350.0,6914.39,26700.0,936964.39,3.9431594620154136,25.360374330103394,6.371455877668048
centro_1q,Centro | 1 quarto,p25,mediana,0.4,0.2,0.05,376.25,890000.0,54932.5,10986.5,7000.0,36946.0,13350.0,6914.39,44500.0,954764.39,3.8696457876900916,25.842158555729984,6.371455877668048
centro_1q,Centro | 1 quarto,p25,mediana,0.4,0.2,0.08,376.25,890000.0,54932.5,10986.5,7000.0,36946.0,13350.0,6914.39,71200.0,981464.39,3.7643749866462297,26.56483489416987,6.371455877668048
centro_1q,Centro | 1 quarto,p25,mediana,0.4,0.3,0.03,376.25,890000.0,54932.5,16479.75,7000.0,31452.75,13350.0,6914.39,26700.0,936964.39,3.3568778424973016,29.78958564831374,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,mediana,0.4,0.3,0.05,376.25,890000.0,54932.5,16479.75,7000.0,31452.75,13350.0,6914.39,44500.0,954764.39,3.2942944174949798,30.355513905779304,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,mediana,0.4,0.3,0.08,376.25,890000.0,54932.5,16479.75,7000.0,31452.75,13350.0,6914.39,71200.0,981464.39,3.2046756174210254,31.204406291977648,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,mediana,0.4,0.4,0.03,376.25,890000.0,54932.5,21973.0,7000.0,25959.5,13350.0,6914.39,26700.0,936964.39,2.770596222979189,36.093314200966894,8.495274503557395
centro_1q,Centro | 1 quarto,p25,mediana,0.4,0.4,0.05,376.25,890000.0,54932.5,21973.0,7000.0,25959.5,13350.0,6914.39,44500.0,954764.39,2.7189430472998684,36.77899766944664,8.495274503557395
centro_1q,Centro | 1 quarto,p25,mediana,0.4,0.4,0.08,376.25,890000.0,54932.5,21973.0,7000.0,25959.5,13350.0,6914.39,71200.0,981464.39,2.6449762481958206,37.80752287216626,8.495274503557395
centro_1q,Centro | 1 quarto,p25,mediana,0.55,0.2,0.03,376.25,890000.0,75532.1875,15106.4375,7000.0,53425.75,13350.0,6914.39,26700.0,936964.39,5.702004320569749,17.53769277923099,6.371455877668048
centro_1q,Centro | 1 quarto,p25,mediana,0.55,0.2,0.05,376.25,890000.0,75532.1875,15106.4375,7000.0,53425.75,13350.0,6914.39,44500.0,954764.39,5.595699898275427,17.87086545345643,6.371455877668048
centro_1q,Centro | 1 quarto,p25,mediana,0.55,0.2,0.08,376.25,890000.0,75532.1875,15106.4375,7000.0,53425.75,13350.0,6914.39,71200.0,981464.39,5.443473094321843,18.3706244647946,6.371455877668048
centro_1q,Centro | 1 quarto,p25,mediana,0.55,0.3,0.03,376.25,890000.0,75532.1875,22659.65625,7000.0,45872.53125,13350.0,6914.39,26700.0,936964.39,4.895867093732345,20.42539106668547,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,mediana,0.55,0.3,0.05,376.25,890000.0,75532.1875,22659.65625,7000.0,45872.53125,13350.0,6914.39,44500.0,954764.39,4.8045917642571485,20.813422847687306,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,mediana,0.55,0.3,0.08,376.25,890000.0,75532.1875,22659.65625,7000.0,45872.53125,13350.0,6914.39,71200.0,981464.39,4.673886461637187,21.395470519190066,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,mediana,0.55,0.4,0.03,376.25,890000.0,75532.1875,30212.875,7000.0,38319.3125,13350.0,6914.39,26700.0,936964.39,4.089729866894942,24.451492703581255,8.495274503557395
centro_1q,Centro | 1 quarto,p25,mediana,0.55,0.4,0.05,376.25,890000.0,75532.1875,30212.875,7000.0,38319.3125,13350.0,6914.39,44500.0,954764.39,4.01348363023887,24.916010432076515,8.495274503557395
centro_1q,Centro | 1 quarto,p25,mediana,0.55,0.4,0.08,376.25,890000.0,75532.1875,30212.875,7000.0,38319.3125,13350.0,6914.39,71200.0,981464.39,3.904299828952531,25.612787024819404,8.495274503557395
centro_1q,Centro | 1 quarto,p25,mediana,0.7,0.2,0.03,376.25,890000.0,96131.875,19226.375,7000.0,69905.5,13350.0,6914.39,26700.0,936964.39,7.460849179124087,13.403300026464299,6.371455877668048
centro_1q,Centro | 1 quarto,p25,mediana,0.7,0.2,0.05,376.25,890000.0,96131.875,19226.375,7000.0,69905.5,13350.0,6914.39,44500.0,954764.39,7.321754008860762,13.657929490526497,6.371455877668048
centro_1q,Centro | 1 quarto,p25,mediana,0.7,0.2,0.08,376.25,890000.0,96131.875,19226.375,7000.0,69905.5,13350.0,6914.39,71200.0,981464.39,7.122571201997456,14.039873686619794,6.371455877668048
centro_1q,Centro | 1 quarto,p25,mediana,0.7,0.3,0.03,376.25,890000.0,96131.875,28839.5625,7000.0,60292.3125,13350.0,6914.39,26700.0,936964.39,6.43485634496739,15.540362463290823,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,mediana,0.7,0.3,0.05,376.25,890000.0,96131.875,28839.5625,7000.0,60292.3125,13350.0,6914.39,44500.0,954764.39,6.3148891110193155,15.835590814334747,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,mediana,0.7,0.3,0.08,376.25,890000.0,96131.875,28839.5625,7000.0,60292.3125,13350.0,6914.39,71200.0,981464.39,6.143097305853348,16.278433340900634,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,mediana,0.7,0.4,0.03,376.25,890000.0,96131.875,38452.75,7000.0,50679.125,13350.0,6914.39,26700.0,936964.39,5.4088635108106935,18.488172201078847,8.495274503557395
centro_1q,Centro | 1 quarto,p25,mediana,0.7,0.4,0.05,376.25,890000.0,96131.875,38452.75,7000.0,50679.125,13350.0,6914.39,44500.0,954764.39,5.308024213177871,18.839401627395894,8.495274503557395
centro_1q,Centro | 1 quarto,p25,mediana,0.7,0.4,0.08,376.25,890000.0,96131.875,38452.75,7000.0,50679.125,13350.0,6914.39,71200.0,981464.39,5.163623409709241,19.36624576687147,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p75,0.4,0.2,0.03,376.25,980000.0,54932.5,10986.5,7000.0,36946.0,14700.0,7159.85,29400.0,1031259.85,3.582608204905873,27.912625182699074,6.371455877668048
centro_1q,Centro | 1 quarto,p25,p75,0.4,0.2,0.05,376.25,980000.0,54932.5,10986.5,7000.0,36946.0,14700.0,7159.85,49000.0,1050859.85,3.5157875714825337,28.443129161478918,6.371455877668048
centro_1q,Centro | 1 quarto,p25,p75,0.4,0.2,0.08,376.25,980000.0,54932.5,10986.5,7000.0,36946.0,14700.0,7159.85,78400.0,1080259.85,3.4201030428003034,29.23888512964868,6.371455877668048
centro_1q,Centro | 1 quarto,p25,p75,0.4,0.3,0.03,376.25,980000.0,54932.5,16479.75,7000.0,31452.75,14700.0,7159.85,29400.0,1031259.85,3.049934504868002,32.78758932048867,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,p75,0.4,0.3,0.05,376.25,980000.0,54932.5,16479.75,7000.0,31452.75,14700.0,7159.85,49000.0,1050859.85,2.9930489779393508,33.410746278147386,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,p75,0.4,0.3,0.08,376.25,980000.0,54932.5,16479.75,7000.0,31452.75,14700.0,7159.85,78400.0,1080259.85,2.911591132448364,34.34548171463545,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,p75,0.4,0.4,0.03,376.25,980000.0,54932.5,21973.0,7000.0,25959.5,14700.0,7159.85,29400.0,1031259.85,2.517260804830131,39.725720834376624,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p75,0.4,0.4,0.05,376.25,980000.0,54932.5,21973.0,7000.0,25959.5,14700.0,7159.85,49000.0,1050859.85,2.4703103843961682,40.48074308056781,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p75,0.4,0.4,0.08,376.25,980000.0,54932.5,21973.0,7000.0,25959.5,14700.0,7159.85,78400.0,1080259.85,2.4030792220964243,41.61327644985459,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p75,0.55,0.2,0.03,376.25,980000.0,75532.1875,15106.4375,7000.0,53425.75,14700.0,7159.85,29400.0,1031259.85,5.180629305019487,19.30267427223764,6.371455877668048
centro_1q,Centro | 1 quarto,p25,p75,0.55,0.2,0.05,376.25,980000.0,75532.1875,15106.4375,7000.0,53425.75,14700.0,7159.85,49000.0,1050859.85,5.084003352112082,19.66953856520498,6.371455877668048
centro_1q,Centro | 1 quarto,p25,p75,0.55,0.2,0.08,376.25,980000.0,75532.1875,15106.4375,7000.0,53425.75,14700.0,7159.85,78400.0,1080259.85,4.945638773856123,20.219835004655998,6.371455877668048
centro_1q,Centro | 1 quarto,p25,p75,0.55,0.3,0.03,376.25,980000.0,75532.1875,22659.65625,7000.0,45872.53125,14700.0,7159.85,29400.0,1031259.85,4.448202967467414,22.48098855456118,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,p75,0.55,0.3,0.05,376.25,980000.0,75532.1875,22659.65625,7000.0,45872.53125,14700.0,7159.85,49000.0,1050859.85,4.365237785990206,22.908259504428372,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,p75,0.55,0.3,0.08,376.25,980000.0,75532.1875,22659.65625,7000.0,45872.53125,14700.0,7159.85,78400.0,1080259.85,4.246434897122206,23.549165929229165,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,p75,0.55,0.4,0.03,376.25,980000.0,75532.1875,30212.875,7000.0,38319.3125,14700.0,7159.85,29400.0,1031259.85,3.715776629915341,26.91227432642483,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p75,0.55,0.4,0.05,376.25,980000.0,75532.1875,30212.875,7000.0,38319.3125,14700.0,7159.85,49000.0,1050859.85,3.64647221986833,27.423765757801633,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p75,0.55,0.4,0.08,376.25,980000.0,75532.1875,30212.875,7000.0,38319.3125,14700.0,7159.85,78400.0,1080259.85,3.547231020388289,28.19100290486684,8.495274503557395
centro_1q,Centro | 1 quarto,p25,p75,0.7,0.2,0.03,376.25,980000.0,96131.875,19226.375,7000.0,69905.5,14700.0,7159.85,29400.0,1031259.85,6.7786504051331,14.75219904013275,6.371455877668048
centro_1q,Centro | 1 quarto,p25,p75,0.7,0.2,0.05,376.25,980000.0,96131.875,19226.375,7000.0,69905.5,14700.0,7159.85,49000.0,1050859.85,6.65221913274163,15.032577551122587,6.371455877668048
centro_1q,Centro | 1 quarto,p25,p75,0.7,0.2,0.08,376.25,980000.0,96131.875,19226.375,7000.0,69905.5,14700.0,7159.85,78400.0,1080259.85,6.471174504911943,15.453145317607342,6.371455877668048
centro_1q,Centro | 1 quarto,p25,p75,0.7,0.3,0.03,376.25,980000.0,96131.875,28839.5625,7000.0,60292.3125,14700.0,7159.85,29400.0,1031259.85,5.846471430066826,17.104333989511513,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,p75,0.7,0.3,0.05,376.25,980000.0,96131.875,28839.5625,7000.0,60292.3125,14700.0,7159.85,49000.0,1050859.85,5.73742659404106,17.429416892908197,7.2816638601920545
centro_1q,Centro | 1 quarto,p25,p75,0.7,0.3,0.08,376.25,980000.0,96131.875,28839.5625,7000.0,60292.3125,14700.0,7159.85,78400.0,1080259.85,5.5812786617960475,17.91704124800322,7.2816638601920545
