suburb_key,quartos_faixa,anuncios_airbnb,diaria_p25_anunciada,diaria_mediana_anunciada,diaria_p75_anunciada,anuncios_vivareal,preco_p25_anunciado,preco_mediano_anunciado,preco_p75_anunciado,area_mediana_m2,preco_m2_mediano_anunciado,condominio_mensal_mediano,anuncios_com_condominio,iptu_anual_mediano,anuncios_com_iptu,segmento,rotulo,cobertura_condominio_percentual,cobertura_iptu_percentual,cenario,metrica_diaria,diaria_usada,metrica_preco,preco_compra_usado,ocupacao_assumida,custo_variavel_assumido,preparacao_assumida,receita_bruta_anual,custos_variaveis_anuais,custos_fixos_anuais,potencial_liquido_anual,itbi_estimado,cartorio_estimado,preparacao_estimada,investimento_total_estimado,retorno_liquido_estimado_percentual,payback_estimado_anos,ocupacao_equilibrio_percentual,retorno_conservador_percentual,retorno_otimista_percentual,ranking_retorno_base,preco_maximo_meta_8_percentual,desconto_necessario_mediana_percentual,papel_recomendacao
centro,1,78,376.25,445.0,523.999975,22,652500.0,890000.0,980000.0,42.0,14574.27536231884,500.0,10,1000.0,7,centro_1q,Centro | 1 quarto,45.45454545454545,31.818181818181817,base,mediana,445.0,mediana,890000.0,0.55,0.3,0.05,89333.75,26800.125,7000.0,55533.625,13350.0,6914.39,44500.0,954764.39,5.816474261257272,17.19254577744565,6.156687702016315,2.4030792220964243,14.546780338048862,3,645886.9225352112,27.42843567020099,nao_selecionado
centro,2,64,370.0,568.5,709.8750125,89,889000.0,1150000.0,1550000.0,86.0,13068.181818181818,500.0,55,1000.0,50,centro_2q,Centro | 2 quartos,61.79775280898876,56.17977528089888,base,mediana,568.5,mediana,1150000.0,0.55,0.3,0.05,114126.37500000001,34237.912500000006,7000.0,72888.46250000001,17250.0,7528.04,57500.0,1232278.04,5.9149364132140185,16.906352497145896,4.819219045553668,1.4897759232090746,14.755378938671207,2,849121.2406103287,26.16337038171055,alternativa
centro,3,43,520.5,750.0,850.0,437,1750000.0,2100000.0,2790000.0,131.0,15789.473684210527,617.0,179,1300.0,154,centro_3q,Centro | 3 quartos,40.96109839816934,35.24027459954233,base,mediana,750.0,mediana,2100000.0,0.55,0.3,0.05,150562.5,45168.75,8704.0,96689.75,31500.0,9859.91,105000.0,2246359.91,4.304285772265229,23.2326581669722,4.542204827136334,1.2030085956330154,8.980325297641008,6,1127787.6384976525,46.295826738207026,nao_selecionado
meiapraia,1,20,373.5,441.0,523.25,58,757000.0,877500.0,1003755.25,40.0,21250.0,727.5,18,1000.0,18,meiapraia_1q,Meia Praia | 1 quarto,31.03448275862069,31.03448275862069,base,mediana,441.0,mediana,877500.0,0.55,0.3,0.05,88530.75,26559.225,9730.0,52241.525,13162.5,6914.39,43875.0,941451.89,5.5490381988611235,18.021141036751892,8.635417637374584,2.078024495152372,12.189184404632233,4,607362.4906103285,30.784901354948325,nao_selecionado
meiapraia,2,183,365.0,450.0,585.0,243,912850.0,1080000.0,1290000.0,85.0,13032.608695652174,500.0,134,980.0,115,meiapraia_2q,Meia Praia | 2 quartos,55.144032921810705,47.325102880658434,base,mediana,450.0,mediana,1080000.0,0.55,0.3,0.05,90337.50000000001,27101.250000000004,6980.0,56256.250000000015,16200.0,7405.3099999999995,54000.0,1157605.31,4.85970904884671,20.577363581824237,6.070884974994565,1.759587900768338,11.718255967491201,5,654368.4366197184,39.41032994261866,nao_selecionado
meiapraia,3,312,500.0,650.0,820.5,1697,1579800.0,1885000.0,2399240.0,129.0,14957.98319327731,600.0,819,1500.0,669,meiapraia_3q,Meia Praia | 3 quartos,48.26163818503241,39.42251031231585,base,mediana,650.0,mediana,1885000.0,0.55,0.3,0.05,130487.50000000001,39146.25,8700.0,82641.25000000001,28275.0,9368.99,94250.0,2016893.99,4.097451348942738,24.405414850332004,5.238597019418937,1.330672448422027,9.581677479117035,7,963360.0985915493,48.893363469944326,nao_selecionado
meiapraia,4+,62,827.375,1125.0,1710.25,1403,2800000.0,3700000.0,5463500.0,190.0,18617.021276595744,950.0,571,3000.0,462,meiapraia_4maisq,Meia Praia | 4+ quartos,40.69850320741269,32.92943692088382,base,mediana,1125.0,mediana,3700000.0,0.55,0.3,0.05,225843.75000000003,67753.125,14400.0,143690.62500000003,55500.0,13787.27,185000.0,3954287.27,3.633793277745348,27.51945208673147,5.009784735812133,0.967868241885567,11.409912695666753,8,1678173.4671361502,54.643960347671616,nao_selecionado
morretes,2,47,350.0,458.0,532.5,1037,680000.0,790000.0,879740.0,69.0,11550.942028985508,350.0,492,700.0,477,morretes_2q,Morretes | 2 quartos,47.44455159112825,45.998071359691416,base,mediana,458.0,mediana,790000.0,0.55,0.3,0.05,91943.50000000001,27583.050000000003,4900.0,59460.45000000001,11850.0,6668.93,39500.0,848018.93,7.0116889961406885,14.261898959728692,4.187354190345158,2.655041405710848,14.496457138285864,1,691861.1784037559,12.422635645094193,principal
